,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"rifqi fauzi","2020-11-23 22:01:26",0,no,no,"Pembahasan yg menarik dari sisi PR besar Apple dengan soc ARM, yg juga sama sebenarnya dengan chip dari snapdragon yang di pake Microsoft, cuman keunggulan apple sudah ada rosetanya. Menurut saya sih memang teknologi laptop harus mengarah ke arm, dan Apple ketika ikut ke arah sini sudah cukup bagus karena transisi teknologi ini akan semakin cepat dan yg di untungkan konsumen juga. Akan banyak nantinya laptop murah dengan performa kenceng dan batre awet",UCgaLS7eySanFpp6sqR92JSA,UgxyckLmOEPkR1hatnR4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxyckLmOEPkR1hatnR4AaABAg
2,,"RaviKun MC","2020-11-23 22:20:18",0,no,no,"Lagi nabung buat mac mini 512gb~~~",UCDYEli6qgV5oR74JMQxpFeA,UgwRJ0JSSJ2vUI7iXTh4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwRJ0JSSJ2vUI7iXTh4AaABAg
3,,"Ilham Buono","2020-11-23 22:36:47",0,no,no,"IMO,dengan menggunakan node 5nm TSMC, performa nya ga begitu impresif, which is the best & the most efficient node yet
Tp kalo dibandingin dengan performa Intel, ya jelas impresif, node nya jauh dari 14 nm ke 5nm",UCXnhQQBtje-Tta7DWJxaT5w,Ugy8Vhov1hAMuLtVBp14AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugy8Vhov1hAMuLtVBp14AaABAg
4,,"26_ Defan","2020-11-23 23:24:27",0,no,no,"Apapun laptopnya, mending rakit pc",UCw_rgyb3W3GbG9HcuRYcsXA,UgxpKAcQ1jEOZAHrGat4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxpKAcQ1jEOZAHrGat4AaABAg
5,,"26_ Defan","2020-11-23 23:25:08",0,no,no,"Semoga apple keluarin cpu buat rakit pc",UCw_rgyb3W3GbG9HcuRYcsXA,UgwMrUIeEhYuJY7DB-p4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwMrUIeEhYuJY7DB-p4AaABAg
6,,"Gus Bro17","2020-11-23 23:27:04",0,no,no,"Bg saya mau minta tolong untuk overclocking ram gskill sniper x untuk nyentuh ke 3400mhz untuk harian, berapa voltase nya sama angka seperti 11.11.11.11, minta saran nya bg 🙏 yang pas untuk harian, saya make ryzen 5 3600",UC_L00qocLYPvbjo9xlAPeag,UgwHWOs59PjHCXHqkOl4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwHWOs59PjHCXHqkOl4AaABAg
7,,encrypt0r,"2020-11-24 00:17:28",1,no,no,"Subki : ""Mekbuk Air, Mekbuk Pro, Mek Mini""",UCAnMnEtjgVtug8vmRT-2PVw,UgxyKGSFDuZi_3L-w5t4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxyKGSFDuZi_3L-w5t4AaABAg
8,,"ardi ari fuzaki","2020-11-24 00:17:51",0,no,no,"Nonton dengan asus max pro M1",UCDwQO4FRk_tr_LNNvn2WXoQ,UgxzArYV_Ufk0JLKjFR4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxzArYV_Ufk0JLKjFR4AaABAg
9,,"Didi Abdillah","2020-11-24 00:20:21",0,no,no,"Ga bisa Upgrade ram, ga bisa nambah GPU ... kurang apa lagi coba",UC_SOAjINwyCQVh3yFYqgjrg,UgyF1lE2fmYOHiVeAKd4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgyF1lE2fmYOHiVeAKd4AaABAg
10,,"Ryan Dwi Putra","2020-11-24 00:26:23",0,no,no,"hai anda 😂 jgn hina antutu kami",UCtfEqH_u7TXMVxFcWghOGRg,UgzQazb3dlneDUxo9aV4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzQazb3dlneDUxo9aV4AaABAg
